,NAME,FUMR YDS,FUMR YDS_rank
147,Marshon Lattimore,91,1.0
14,Jaylon Smith,69,2.0
166,Linval Joseph,64,3.0
189,Patrick Peterson,49,4.0
50,Kyle Van Noy,46,5.0
36,Budda Baker,34,6.5
154,Justin Evans,34,6.5
105,Danielle Hunter,32,8.0
178,Justin Coleman,29,9.0
197,Denzel Ward,28,10.0
34,Joe Schobert,26,11.0
94,Josh Bynes,23,12.0
38,Jarrad Davis,20,13.0
112,AJ Klein,17,14.0
74,Jabrill Peppers,16,15.0
101,Adrian Amos,15,16.0
66,Devin McCourty,14,17.0
52,Jordan Hicks,13,18.0
175,Corey Graham,12,19.0
39,Malcolm Jenkins,11,20.5
3,Bobby Wagner,11,20.5
173,Da'ron Payne,9,22.5
160,Micah Hyde,9,22.5
42,Jayon Brown,7,24.0
136,BJ Goodson,6,25.0
19,Jamal Adams,5,27.0
130,Demarcus Lawrence,5,27.0
5,Telvin Smith,5,27.0
146,Bradley Chubb,4,29.0
90,Brian Poole,2,31.0
93,Eli Apple,2,31.0
167,Mike Hilton,2,31.0
133,Jurrell Casey,1,34.5
56,Justin Reid,1,34.5
199,Preston Smith,1,34.5
54,Tyrann Mathieu,1,34.5
169,Trey Flowers,0,116.5
126,Jalen Ramsey,0,116.5
127,Elandon Roberts,0,116.5
128,Elijah Lee,0,116.5
129,Josh Norman,0,116.5
190,Tre'Davious White,0,116.5
131,Joe Haden,0,116.5
125,Jaire Alexander,0,116.5
132,Shaquill Griffin,0,116.5
134,Desmond King,0,116.5
135,JJ Watt,0,116.5
187,Michael Brockers,0,116.5
137,Bobby McCain,0,116.5
138,Jordan Evans,0,116.5
186,Tramon Williams,0,116.5
188,Tashaun Gipson,0,116.5
124,Prince Amukamara,0,116.5
191,Bene' Benwikere,0,116.5
123,Desmond Trufant,0,116.5
196,PJ Williams,0,116.5
195,Nevin Lawson,0,116.5
113,Christian Jones,0,116.5
114,Malcolm Butler,0,116.5
115,Marquel Lee,0,116.5
194,Rashaan Evans,0,116.5
116,TJ Watt,0,116.5
117,Steven Nelson,0,116.5
118,Eric Weddle,0,116.5
119,Darqueze Dennard,0,116.5
120,Byron Jones,0,116.5
121,Deforest Buckner,0,116.5
193,AJ Bouye,0,116.5
192,Ben Gedeon,0,116.5
122,Tre Flowers,0,116.5
139,Duke Riley,0,116.5
168,Morris Claiborne,0,116.5
140,Alex Anzalone,0,116.5
142,Adarius Taylor,0,116.5
179,Kyle Fuller,0,116.5
158,Jason Pierre-Paul,0,116.5
159,Fabian Moreau,0,116.5
177,Gerald Hodges,0,116.5
161,Buster Skrine,0,116.5
162,Johnathan Joseph,0,116.5
157,Josey Jewell,0,116.5
163,Kenny Vaccaro,0,116.5
176,Dee Ford,0,116.5
165,Hardy Nickerson Jr,0,116.5
174,Rashaan Melvin,0,116.5
172,Jonathan Jones,0,116.5
171,Briean Boddy-Calhoun,0,116.5
170,Tedric Thompson,0,116.5
164,Michael Thomas,0,116.5
180,Akiem Hicks,0,116.5
156,Marcus Gilchrist,0,116.5
111,James Bradberry,0,116.5
143,Darian Stewart,0,116.5
144,Mark Barron,0,116.5
145,Patrick Onwuasor,0,116.5
185,Kenny Clark,0,116.5
184,Josh Jones,0,116.5
183,Anthony Barr,0,116.5
148,Dalvin Tomlinson,0,116.5
149,BW Webb,0,116.5
150,Lawrence Guy,0,116.5
151,Aaron Donald,0,116.5
152,Marcus Williams,0,116.5
153,Ndamukong Suh,0,116.5
182,Xavier Woods,0,116.5
181,Eric Murray,0,116.5
155,Rasul Douglas,0,116.5
141,Jonathan Allen,0,116.5
110,Jason McCourty,0,116.5
0,Darius Leonard,0,116.5
108,Eric Reid,0,116.5
27,Zach Cunningham,0,116.5
28,Derwin James,0,116.5
29,Raekwon McMillan,0,116.5
30,Benardrick McKinney,0,116.5
31,CJ Mosley,0,116.5
33,Jamie Collins,0,116.5
35,Danny Trevathan,0,116.5
37,Jordan Poyer,0,116.5
26,Myles Jack,0,116.5
40,Zach Brown,0,116.5
43,Jatavis Brown,0,116.5
44,Nigel Bradham,0,116.5
45,Landon Collins,0,116.5
46,Adrian Phillips,0,116.5
47,De'Vondre Campbell,0,116.5
48,Alec Ogletree,0,116.5
49,Ha'Sean Clinton-Dix,0,116.5
51,Foyesade Oluokun,0,116.5
41,Justin Simmons,0,116.5
53,Kevin Byard,0,116.5
25,Eric Kendricks,0,116.5
23,Shawn Williams,0,116.5
1,Blake Martinez,0,116.5
2,Leighton Vander Esch,0,116.5
4,Anthony Hitchens,0,116.5
6,Mason Foster,0,116.5
7,Luke Kuechly,0,116.5
8,Tahir Whitehead,0,116.5
9,Cory Littleton,0,116.5
10,Kiko Alonso,0,116.5
24,Demario Davis,0,116.5
11,Fred Warner,0,116.5
13,Avery Williamson,0,116.5
15,Tremaine Edmunds,0,116.5
16,Antoine Bethea,0,116.5
17,John Johnson,0,116.5
18,Lavonte David,0,116.5
20,Todd Davis,0,116.5
21,Wesley Woodyard,0,116.5
22,Jessie Bates III,0,116.5
12,Roquan Smith,0,116.5
55,Clayton Geathers,0,116.5
57,Vonn Bell,0,116.5
81,Brad McDougald,0,116.5
84,Ron Parker,0,116.5
85,Kenny Moore,0,116.5
86,Jordan Whitehead,0,116.5
87,Vince Williams,0,116.5
88,Logan Ryan,0,116.5
89,Jahleel Addae,0,116.5
91,Curtis Riley,0,116.5
92,Mike Adams,0,116.5
95,Glover Quin,0,116.5
96,Travis Carrie,0,116.5
97,Tony Jefferson,0,116.5
98,Darron Lee,0,116.5
198,Deion Jones,0,116.5
100,Jon Bostic,0,116.5
102,Adoree` Jackson,0,116.5
103,Lorenzo Alexander,0,116.5
104,Calais Campbell,0,116.5
106,Chidobe Awuzie,0,116.5
107,Reshad Jones,0,116.5
83,Matt Milano,0,116.5
82,Lamarcus Joyner,0,116.5
99,Donte Jackson,0,116.5
80,Quandre Diggs,0,116.5
59,Reggie Ragland,0,116.5
60,TJ McDonald,0,116.5
61,Jeff Heath,0,116.5
62,Harrison Smith,0,116.5
63,Damarious Randall,0,116.5
64,Patrick Chung,0,116.5
65,Nick Vigil,0,116.5
67,Kendall Fuller,0,116.5
68,Damon Harrison,0,116.5
58,Kareem Jackson,0,116.5
69,Damontae Kazee,0,116.5
71,Haason Reddick,0,116.5
72,Jerome Baker,0,116.5
73,Sean Davis,0,116.5
76,Tre Boston,0,116.5
77,Shaq Thompson,0,116.5
79,Terrell Edmunds,0,116.5
70,Minkah Fitzpatrick,0,116.5
32,Anthony Walker,-1,197.5
78,Thomas Davis,-1,197.5
75,Pierre Desir,-2,199.5
109,Janoris Jenkins,-2,199.5
